음식,효과
감,단맛으로 스트레스 완화 및 혈관청소 및 활성산소 제거로 피부미용에 좋음
밤,소화를 돕고 위를 튼튼하게 해준다 회복 변비를 개선하여 정화 비타민과 각종 미네랄이 풍부 여행시 복용하면 좋음
김,비타민과 무기질 풍부 회복 건망증이나 치매 예방 골다공증 예방 회복
미나리,비타민 무기질 식이섬유 풍부 해독과 혈액정화 간기능 회복에 좋음 섬유질 풍부 변비개선효과 정화
토마토,라이코펜 성분 항암작용 뛰어남 비타민c와 각종 유기산은 피로해복에 좋음 설탕을 뿌려 먹으면 스트레스 완화와 에너지 UP에 좋음
참외,포도당과 과당 흡수빨리 피로회복에 좋음 더운 나라 절기에 수분공급 과일 베타카로틴 함유 강력한 항암제 정화
딸기,비타민C와 엽산 풍부 임신부에 좋음 회복 항산화 성분 풍부하여 항염작용 미네랄 풍부 심혈관 건강 및 뼈를 튼튼하게 해줌 회복
미역,미역의 끈적한 성분 알긴산 오염물질 흡착 배출 정화 혈액을 맑게 해줌 혈액순환 도움 및 혈액 정화 뼈튼튼 회복
석류,다양한 비타민 A~E 피부노화 방지 회복 혈액순환 원활 스트레스 완화 및 간 독소 제거 정화 심장보호 순환
귤,칼륨과 비타민은 피부미용 및 혈관질환 예방 및 개선 순환 및 스트레스 해소 감기예방 에너지 멀미 중화 변비개선 정화
고구마,"구황작물로 에너지 200g당 약 268kcal , 항산화 물질과 풍부한 칼륨으로 극심한 운동과 노동 후 먹으면 회복에 도움 겨울철 섬유질 풍부 변비 예방 - 정화"
배,루테올린과 사포닌을 함유 알부민과 카테킨 성분 해열효과와(정화) 루테올린과 사포닌 함유 가래와 기침 안정 인버타아제와 옥시다아제 소화효소 풍부 소화에 좋음 활성산소 제거 혈류 순환 개선 
마늘,알리신 함유 살균 항균 항염 작용 정화 식중독균 죽이고 위궤양 개선 회복 혈압 강하 면역력 증진 회복 혈액응고 감소 순환
포도,레스베라트롤 성분은 혈관 노폐물 개선 정화 순환 포도당과 과당 소화촉진 및 피로회복에 좋음 빈혈예방 에너지 회복 주석산과 사과산 펩틴 비타민 B복합체 탄닌은 장활동 개선 및 해독작용으로 정화 변비해소에 도움 순환
사과,천연 칼륨 혈압강하 혈액순환 도움 피로회복 에너지 펙틴 성분은 장을 튼튼하게 회복 시키고 해독효과 정화
깻입,베타카로틴과 폴리페놀은 항암작용 회복 파이톨 성분은 암 발생 전이 억제 회복 중금속과 독소 배출 정화 빈혈 예방 회복
유자,비타민C 풍부 감기 예방 회복 섬유질 풍부 9종 필수 아미노산 함유 citrus 항산화 성분으로 항암효과 회복
수박,리코펜 풍부 암과 당뇨병 억제 회복 정화 시트롤린 성분 혈압강하 혈액순환 도움 더운 나라 더운 절기 수분공급 회복 에너지 up 베타크립톡산틴 관절 염증 보호 회복
천도 복숭아,"아미그레달린 성분 신경안정 불안감 해소, 스트레스 해소 효과 저녁섭취시 숙면 도움회복 정화"
살구,"비타민A, B, C 등 항산화제 성분 다량 함유 염증과 노화 및 변질에 대응 장수에 좋음 회복 콜레스트롤 수치 저하 혈액순환 도움"
모과,기관지염 효과 폐를 튼튼 위장를 편하게 근육 원활하게 움직이는 효능과 혈액순환 개선 효능
앵두,안토시아닌 풍부 혈관건강 개선 앵두에 함유된 칼륨 혈관내 노폐물 배출 정화 순환도움 포도당과 과당 풍부 유기산 풍부 피로회복
된장,"많은 아미노산과 사포닌 성분 유해 콜레스테롤 수치 감소 혈액순환 및 혈관건강 개선 정화 제니스테인 성분 뼈 튼튼 회복 항암효과, 간 기능 개선, 항산화 효과(회복)  혈전용해효과, 고혈압 예방효과 (순환)"
김치,"유산균 풍부 정장기능 (정화) , 항암작용(회복), 빈혈예방(회복), 비타민 풍부(고추가루포함 켑사이신-에너지)"
우엉,"식이섬유 풍부 식욕억제 정화 해독정화과 중금속 정화 활성화합물 함유 혈액정화 및 혈액순환 도움 , 이눌린 함유 혈당 수치 낮춤 당뇨 합병증 예방 개선 회복 관절염에 좋음 회복"
연근,"식이 섬유 풍부 장운동 활발 변비개선 정화 스트레스와 피로 누적 회복 면역력강화, 아스파라긴, 티록신 풍부한 아미노산 혈액순환 도움 위장질환 예방"
오징어,풍부한 타우린으로 간기능을 활성화 시켜 피로회복에 도움 혈중 콜레스테롤 수치 낮추어 주어 혈류 순환 개선 혈관질환 예방에 도움
상추,락투칼리움 성분 함유 불안감 해소 에너지 및 불면증 개선 정화 심신 안정 칼슘 풍부 뼈 건강 증진 회복 풍부한 수분과 식이섬유 변비예방 정화 다양한 비타민과 미네랄 신진대사 원활 혈액 순환 개선 피로 칼륨 성분은 체내 나트륨과 노폐물 배출로 혈액순환 개선 베타카로틴 혈관내 나쁜 콜레스테롤 배출 정화 순환개선
콩나물,베타카로틴 비타민 C 성분 활성산소 제거 정화 신진대사 촉진 순환 알긴산 성분 항염작용 피로회복 아스파라긴산은 아세트알데히드 빠르게 분해 숙취해소 도움 정화 철분과 엽산 성분 혈액순환 개선 빈혈 예방 레시틴 성분 뇌기능 퇴화 방지 회복
무,디아스타아제 효소 함유 소화 촉진 순환 수분많고 베타인 성분 풍부 간 보호 회복 숙취해소 회복 이뇨작용 원활 순환 개선 신장질환 예방
옥수수,리놀레산 풍부 콜레스테롤 낮춰 심혈괄 질환 예방 순환 식이섬유 풍부 변비개선 및 장내 노폐물 독소 제거 정화(과다 섭취시 영양흡수 방해 영양결핍)
감자,비타민 C 풍부 감자껍질 폴리페놀 성분 항암작용 회복 알기닌 함유 위염 위경련 위궤양 개선 회복 이눌린 당뇨병 예방 및 췌장 보호 체지방 분해 정화 칼륨 풍부 체내 노폐물 처리 정화 고혈압 개선 순환
쑥,9종 필수 아미노산과 비필수 아미노산이 다량 함유 회복에 좋음 각종 비타민과 미네랄 함량 높음 회복 다양한 지방산 함유 그중 리놀레산과 알파 리놀렌산은 혈전 예방 혈압 낮추고 순환 개선 세포막 구성성분 노화 예방 회복
어묵,단백질과 필수 아미노산 함유 근육형성 회복 신경전달 물질 합성 순환 도움 불포화 지방산 함유 혈관속 콜레스테롤 제거 성인병 예방 순환 회복 칼슘 칼륨 철분 풍부 뼈 건강 도움 회복
검은콩,글리시테인 성분 항암효과 회복 신장기능 회복 정화 에너지 시력강화 비타민E와 칼륨 혈관확장 순환 개선 칼슘 혈관근육 부드럽게 해줌 신장기능 개선 배뇨 이뇨에 좋음 정화 순환
풋고추,비타민C 열에 파괴 x 피로회복 캔사이신 함염작용 회복 플라보노이드 성분 뇌세포막 산화 방지 치매예방 회복 헬리코박터 균 억제 위염치료 회복 발한 작용 해열효과 정화 순환 비타민A B C 칼슘 인 철분 칼륨 카로틴 등 다양한 영양소 골고루 섭취 회복
새싹쌈,혈류량 증가 혈액순환 신진대사 촉진 순환 및 에너지와 활력 증진 피로개선 간 해독능력 상승 뇌신경 활성화 에너지 항염 항암 항바이러스 회복 면역력 증진 소화 촉진 순환
참기름,불포화지방산 오메가6 풍부 콜레스테롤 수치 낮추고 심혈관 질환 예방 순환 비타민 E 성분 노화방지 피부보호 회복 세사민 성분 숙취해소 효과 회복 호르몬 분비 촉진 순환
간장,액체고기 단백질 공급 근육생성 회복 호르몬 생성 순환 리놀레산과 불포화지방산 함유 혈관질환 예방과 치료 순환 칼륨 마그네슘 철 체액 알칼리화 효과 정화 레시틴 성분 간기능 개선 해독 신장기능 개선 순환 및 해독
고추장,베타카로틴 풍부 항암작용 회복 비타민 A 풍부 시력회복 캡사이신 성분 혈액순환 촉진 에너지 up 소화촉진 순환 촉진 식욕 북돋고 엔도르핀 생성 회복 스트레스 완화 정화
